a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
980390164567642112,39.125,2.75,747871750,3,2018-04-01 10:23:24,True,False,2807454.6622182857,4,0.846153846154,True,11,10,1,0,0,8,8,0,100,0,33.6666666667,11.6,26,22,False
358576159,72.4,6.5,41594610,1,2011-08-20 04:16:54,True,False,35857.06980345717,16,0.606909430439,True,10,8,2,8,92,155,22,10,55,35,1.12941176471,8.9,1071,650,False
4883412766,73.85,7.725,1205150225,2,2016-02-06 23:38:19,True,False,10530287.423734969,0,0.654661016949,True,10,7,3,1,34,40,6,10,30,60,3.37037037037,8.8,472,309,False
272206230,85.71428571428571,8.28571428571,19736469857,2,2011-03-26 01:44:12,True,False,55829469.64767286,0,0.794520547945,True,12,12,0,0,4,7,4,0,100,0,2.41666666667,9.1,73,58,False
989880535567749120,0,0,0,0,2018-04-27 14:54:45,True,False,0,0,0,True,14,14,0,0,0,0,0,0,0,0,34.0,0,0,0,False
205221495,95.7,5.82,2383840700,4,2010-10-20 11:50:28,True,False,10350253.835117122,0,0.654668166479,True,12,9,3,0,23,104,88,0,45,55,6.66666666667,9.4,889,582,False
954166120298131456,59.55555555555556,7.77777777778,940715333,1,2018-01-19 01:38:25,True,False,2351164.78396762,0,0.864197530864,True,10,2,1,0,9,9,3,11,44,44,8.33333333333,7.9,81,70,False
3536426780,140.0,12.0,0,1,2015-09-12 09:27:01,True,False,0.0,0,1.0,True,8,6,2,1,1,1,0,0,100,0,4.07692307692,18.2,12,12,False
308597676,109.2,12.6,21632984200,4,2011-05-31 17:40:31,True,False,62322438.07865725,0,0.763636363636,True,11,11,0,0,4,10,6,10,30,60,17.3783783784,10.4,165,126,False
204431453,115.6,4.55,101840,1,2010-10-18 17:40:49,False,False,1906.4188541608585,100,0.567331670823,True,12,5,0,89,57,1534,87,0,100,0,7.31275720165,13.4,802,455,False
249446545,79.84210526315789,8.734375,3619019406,4,2011-02-09 02:06:26,False,False,33980965.38873264,0,0.599785407725,True,8,2,0,8,49,66,14,0,100,0,2.67441860465,10.7,932,559,False
167366446,30.733333333333334,3.93333333333,14743903666,5,2010-07-16 11:58:34,True,False,69951003.17454967,0,0.921875,True,6,6,0,2,3,15,4,0,73,26,2.5,11.5,64,59,False
1291146914,76.47058823529412,9.17647058824,9698661058,5,2013-03-23 11:10:23,True,False,71139394.54643457,6,0.768472906404,True,14,11,2,5,11,17,5,11,64,23,9.42857142857,8.4,203,156,False
877778328836591616,0,0,0,0,2017-06-22 06:40:36,True,False,0,0,0,True,12,12,0,0,0,0,0,0,0,0,10.0,0,0,0,False
931163938019999745,0,0,0,0,2017-11-16 14:15:57,True,False,0,0,0,True,12,4,0,0,0,0,0,0,0,0,26.5652173913,0,0,0,False
797999861413122049,82.0,8.0,834778237,2,2016-11-14 03:09:27,True,False,2812703.4190104455,0,0.561904761905,True,7,5,2,18,52,59,25,0,80,20,6.0,8.7,840,472,False
372763595,70.70588235294117,8.58823529412,10455525647,3,2011-09-13 11:22:18,False,False,46083829.158519804,0,0.918238993711,True,9,9,0,5,6,17,4,5,94,0,3.33644859813,10.0,159,146,False
834567656,102.1875,12.25,10786220125,3,2012-09-20 02:13:57,True,False,45564592.0245353,0,0.859649122807,True,10,6,1,7,13,17,3,0,56,43,1.78461538462,10.8,228,196,False
2861653176,112.8,8.75,935909940,2,2014-10-18 02:19:37,False,False,16473276.146932235,0,0.574146981627,True,10,4,1,89,70,141,64,5,40,55,1.90909090909,11.2,1524,875,False
534662568,65.2,2.77,342109850,1,2012-03-23 18:12:18,False,False,14634069.009779064,0,0.902280130293,True,14,6,0,1,0,1003,99,10,90,0,9.8,12.6,307,277,False
726107109537009665,0,0,0,0,2016-04-29 17:53:20,True,False,0,0,0,True,14,12,2,0,0,0,0,0,0,0,5.0,0,0,0,False
884845672490352640,70.57142857142857,4.85714285714,4158924571,1,2017-07-11 18:43:42,False,False,10073509.731103484,3,0.653846153846,True,10,10,0,2,2,7,5,0,100,0,18.8,14.9,52,34,False
812064152235769856,105.25,12.5,9193477750,1,2016-12-22 22:35:56,False,False,15734009.020812135,0,0.909090909091,True,13,2,0,3,0,4,2,0,100,0,63.0,9.3,55,50,False
105802882,86.6,10.7,10421057000,3,2010-01-17 14:46:09,True,False,29000616.703816004,0,0.906779661017,True,4,3,1,3,7,10,7,10,80,10,1.78378378378,10.2,118,107,False
999682107604598784,0,0,0,0,2018-05-24 16:02:42,True,False,0,0,0,True,14,6,8,0,0,0,0,0,0,0,5.0,0,0,0,False
2846815826,100.35,9.15094339623,1303680792,2,2014-10-08 08:55:45,True,False,9905131.409434332,0,0.715339233038,True,8,8,0,9,24,53,49,0,25,75,11.5555555556,10.4,678,485,False
