a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
288308357,112.0,12.0,0,1,2011-04-26 16:31:07,True,False,0.0,0,0.857142857143,True,finatb,6,1,0,0,1,1,1,3.33333333333,10.5,14,0,False
902261683267174400,110.5,12.0,13045500,2,2017-08-28 20:08:43,True,False,13045.5,0,0.888888888889,True,gomaespumista,13,1,0,0,1,2,1,15.6,8.8,27,0,False
1137332474,118.05,10.98,24792180,1,2013-01-31 16:28:53,False,False,134783.74618962777,7,0.588739946381,True,Ferringayo,10,1,0,0,0,6691,0,2.8640776699,11.5,1865,0,False
1000270596327051264,95.95,8.81818181818,40688431,1,2018-05-26 07:01:09,True,False,425546.40177222743,1,0.667814113597,True,LuisFerrndez1,13,0,0,0,0,44,0,6.25,11.3,581,0,False
817166449076826118,72.4,3.42028985507,629983072,2,2017-01-06 00:30:38,True,False,1081214.4548614707,0,0.363636363636,True,paco38828346,12,0,0,0,0,69,0,31.0294117647,11.1,649,0,False
1003693491036225537,125.0,13.1428571429,80653428,2,2018-06-04 17:42:30,True,False,168826.44648313383,0,0.773109243697,True,DelatorPayaso,13,1,0,0,0,7,0,11.1875,10.9,119,0,False
214830687,115.55,5.76,8421750,6,2010-11-12 10:14:14,False,False,109661.04175754487,3,0.422907488987,True,serretllibres,13,1,0,0,0,34037,0,0.482732447818,14.7,1362,0,False
2491622101,125.8,7.87,16525420,3,2014-05-12 15:35:11,False,False,145816.36624414797,5,0.481640146879,True,latele_tv,9,0,0,0,0,4712,0,1.00519330641,12.3,1634,0,False
1004591387889856513,100.5,12.0,8763000,1,2018-06-07 05:10:26,True,False,13972.055098928719,0,0.8,True,aznarezugigmai2,15,0,0,0,0,5,0,10.8,15.0,60,0,False
988325606168375296,127.6,12.5714285714,71986642,1,2018-04-23 07:56:01,True,False,753351.4670343368,0,0.665406427221,True,ElFrio6,7,0,0,0,1,28,0,32.4444444444,12.8,529,0,False
752941334,127.55,10.03,41790320,1,2012-08-12 11:26:24,True,False,20040.199284438266,20,0.543631436314,True,asysver,7,1,0,0,0,194,0,9.61111111111,11.0,1845,0,False
1000138384596234240,115.45,10.487804878,24217048,1,2018-05-25 22:15:47,True,False,617077.801045482,0,0.591065292096,True,panaragonesismo,15,1,0,0,0,82,0,1.6,10.7,1455,0,False
2415140500,124.2,10.59,177737580,1,2014-03-16 12:39:30,True,False,8149969.825930284,0,0.593277310924,True,clarineteoscuro,15,1,0,0,0,13372,0,1.10067114094,11.0,1785,0,False
